"","tot.germ","pred.mass","treat.sh","tree.id","seedling.biomass"
"m1.1.a",0,0.0222813714132238,"pot","m1",NA
"m1.1.b",0,0.0225179194623651,"pot","m1",NA
"m1.2.a",1,0.022456189881244,"pot","m1",NA
"m1.2.b",1,0.0221660657107993,"near","m1",0.0025
"m1.3.b",1,0.0205394343519901,"far","m1",NA
"m1.4.a",0,0.0208945559783907,"near","m1",NA
"m1.5.b",0,0.0218768016472541,"near","m1",NA
"m1.6.b",1,0.0190643499896066,"far","m1",0.0276
"m1.7.a",1,0.0215037408521867,"far","m1",NA
"m1.8.a",1,0.0215398903291522,"far","m1",NA
"m1.9.b",0,0.0167398938159841,"far","m1",NA
"m1.10.a",1,0.0219160029066365,"pot","m1",NA
"m1.10.b",1,0.021294332384381,"pot","m1",NA
"m1.11.a",1,0.0196184292233493,"pot","m1",NA
"m1.12.a",0,0.0198436593728862,"pot","m1",NA
"m1.12.b",0,0.0192725815487569,"far","m1",NA
"m1.13.a",NA,0.0200476965054796,"near","m1",NA
"m1.13.b",1,0.0197130102087019,"pot","m1",NA
"m1.14.b",0,0.0203628535995828,"near","m1",NA
"m1.15.a",1,0.0220698263919946,"near","m1",0.0037
"m1.15.b",0,0.0218732977200286,"far","m1",NA
"m1.16.a",1,0.0181419805736963,"far","m1",0.017
"m1.16.b",1,0.0176989738808956,"pot","m1",NA
"m1.17.a",1,0.0224887328331351,"far","m1",NA
"m1.17.b",1,0.0208951662717859,"near","m1",NA
"m1.18.b",1,0.0194072299036051,"far","m1",0.008
"m1.19.a",1,0.0231272648248569,"pot","m1",NA
"m1.19.b",1,0.0227868288070677,"pot","m1",0.015
"m1.20.a",1,0.0225848961214398,"pot","m1",NA
"m1.21.a",0,0.0217347830573776,"pot","m1",NA
"m1.21.b",1,0.0213433308426361,"far","m1",NA
"m1.22.b",1,0.0212501255182996,"near","m1",NA
"m1.23.a",0,0.0214344546297671,"near","m1",NA
"m1.23.b",1,0.0202251075981826,"near","m1",NA
"m1.24.a",0,0.0204775278114403,"near","m1",NA
"m1.24.b",1,0.0222956428086207,"far","m1",NA
"m1.25.b",1,0.0208036049287853,"pot","m1",NA
"m1.26.a",NA,0.0219099802949154,"far","m1",NA
"m1.26.b",0,0.0211471966250563,"near","m1",NA
