"","tot.germ","pred.mass","treat.sh","tree.id","seedling.biomass"
"k1.1.1",1,0.0100986886600728,"pot","k1",0.0317
"k1.1.2",2,0.0067184819971011,"near","k1",NA
"k1.1.3",3,0.00405011922398995,"far","k1",NA
"k1.1.4",1,0.0071432925835114,"pot","k1",NA
"k1.1.5",1,0.00670575890016291,"near","k1",NA
"k1.1.6",0,0.00551687963429525,"far","k1",NA
"k1.1.7",1,0.00477556646363741,"pot","k1",NA
"k1.1.8",1,0.00722234832318296,"near","k1",NA
"k1.1.9",0,0.00364107686961702,"far","k1",NA
"k1.1.12",0,0.00749732144015359,"far","k1",NA
"k1.1.13",0,0.00853406187268282,"pot","k1",NA
"k1.1.14",0,0.00730445995850287,"near","k1",NA
"k1.1.15",3,0.00701237086371562,"far","k1",NA
"k1.1.16",0,0.00557018287550763,"pot","k1",NA
"k1.1.17",1,0.00636820325547408,"near","k1",NA
"k1.1.18",0,0.00665679220073631,"far","k1",NA
"k1.1.19",0,0.00593278873647385,"pot","k1",NA
"k1.1.20",0,0.00493196810992095,"near","k1",NA
"k1.1.21",1,0.00750853953563149,"far","k1",NA
"k1.1.22",0,0.00598419459324553,"pot","k1",NA
"k1.2.1",0,0.00892309499759194,"near","k1",NA
"k1.2.2",1,0.0072586861610022,"far","k1",NA
"k1.2.3",1,0.00940936324136272,"pot","k1",0.0231
"k1.2.4",1,0.00973754108395659,"near","k1",NA
"k1.2.6",1,0.00819481960770195,"pot","k1",NA
"k1.2.7",0,0.00957464910545546,"near","k1",NA
"k1.2.8",1,0.00841475774683677,"far","k1",NA
"k1.2.9",2,0.00909328952303354,"pot","k1",NA
"k1.2.10",2,0.00958531630382589,"near","k1",NA
"k1.2.11",2,0.00920014291636428,"far","k1",0.0758
"k1.2.12",2,0.00888352500956338,"pot","k1",NA
"k1.2.13",1,0.0102291370954088,"near","k1",NA
"k1.3.1",1,0.0096720778665172,"far","k1",NA
"k1.3.2",0,0.0113221232188738,"pot","k1",NA
"k1.3.3",0,0.0091970848785813,"near","k1",NA
"k1.3.4",0,0.0091442870601504,"far","k1",NA
"k1.3.6",0,0.00712350196374443,"near","k1",NA
"k1.4.1",2,0.00762674880010525,"far","k1",NA
"k1.4.2",1,0.00504040556989835,"pot","k1",NA
"k1.4.3",0,0.00480897931919652,"near","k1",NA
"k1.4.4",2,0.00734213332338935,"far","k1",NA
"k1.4.5",NA,0.00911009719058681,"pot","k1",NA
"k1.4.6",0,0.0099849474564434,"near","k1",NA
"k1.4.7",0,0.00989933039650664,"far","k1",NA
"k1.4.8",1,0.00841584466138592,"pot","k1",NA
"k1.4.9",0,0.00882384507644219,"near","k1",NA
"k1.4.10",0,0.00650095932518164,"far","k1",NA
"k1.4.12",0,0.00878180489478797,"near","k1",NA
"k1.4.13",1,0.00710374915922544,"far","k1",NA
"k1.4.14",1,0.00764742662630717,"pot","k1",NA
"k1.4.15",1,0.00536663826083822,"near","k1",NA
"k1.4.17",0,0.00524072544315541,"pot","k1",NA
"k1.4.18",0,0.00573867946719178,"near","k1",NA
"k1.4.19",1,0.00497398067226005,"far","k1",NA
"k1.5.1",1,0.00776489954050105,"near","k1",NA
"k1.5.2",1,0.00666157082711889,"far","k1",NA
"k1.5.3",0,0.00814748563843055,"pot","k1",NA
"k1.5.5",0,0.00588473734478616,"far","k1",NA
"k1.5.6",1,0.00550375564228978,"pot","k1",NA
"k1.5.7",1,0.00526589300815382,"near","k1",NA
"k1.5.8",0,0.00693763513773662,"far","k1",NA
"k1.5.9",1,0.00732304240649785,"pot","k1",0.0183
"k1.5.10",0,0.0115906781500649,"near","k1",NA
"k1.5.11",0,0.00671985142734255,"far","k1",NA
"k1.5.12",1,0.00460599350559074,"pot","k1",NA
"k1.5.13",0,0.00816985030254771,"near","k1",NA
"k1.5.14",0,0.00704114721229067,"far","k1",NA
"k1.5.15",1,0.00802369344188607,"pot","k1",NA
"k1.5.16",1,0.00434462068079369,"near","k1",NA
"k1.5.18",0,0.00591596035786876,"pot","k1",NA
"k1.5.19",0,0.00404322128599368,"near","k1",NA
"k1.5.21",2,0.00804661292445357,"pot","k1",NA
"k1.5.22",1,0.0067857705242842,"near","k1",NA
"k1.5.23",1,0.00652117129360822,"far","k1",NA
"k1.5.24",0,0.00952878890125734,"pot","k1",NA
"k1.5.25",0,0.00510043399855576,"near","k1",NA
"k1.5.27",0,0.00826655004240851,"pot","k1",NA
"k1.5.28",0,0.00470271795258455,"near","k1",NA
"k1.5.29",0,0.00598476329658655,"far","k1",NA
"k1.5.30",0,0.0072766631198393,"pot","k1",NA
"k1.5.31",1,0.00739185003835661,"near","k1",NA
"r1.1.1",0,0.010806677371071,"far","r1",NA
"r1.1.2",1,0.00752811023660724,"pot","r1",NA
"r1.1.4",1,0.00834496036809195,"far","r1",NA
"r1.1.5",1,0.00723261160371787,"pot","r1",NA
"r1.1.6",1,0.00718769753500734,"near","r1",NA
"r1.1.7",0,0.00859376730481759,"far","r1",NA
"r1.1.8",1,0.00863720741177855,"pot","r1",NA
"r1.1.9",3,0.00971734994137513,"near","r1",NA
"r1.1.10",0,0.00859684599669353,"far","r1",NA
"r1.1.12",1,0.0102176230593118,"near","r1",NA
"r1.1.13",1,0.00694594629723013,"far","r1",NA
"r1.1.14",1,0.00786800654245389,"pot","r1",NA
"r1.1.15",1,0.00983573678505875,"near","r1",NA
"r1.1.16",0,0.00750798210265851,"far","r1",NA
"r1.1.17",2,0.0100760812899049,"pot","r1",0.0181
"r1.1.18",2,0.00847746574816093,"near","r1",NA
"r1.1.19",2,0.00697871232036656,"far","r1",NA
"r1.1.20",1,0.00675689955431026,"pot","r1",NA
"r1.2.1",1,0.00677646278934277,"near","r1",NA
"r1.2.2",2,0.0113172696115679,"far","r1",NA
"r1.2.3",1,0.00945713900438784,"pot","r1",0.0145
"r1.2.4",2,0.00931309440895971,"near","r1",NA
"r1.2.5",0,0.0096531404038551,"far","r1",NA
"r1.2.6",0,0.00838556803551876,"pot","r1",NA
"r1.2.7",1,0.0103569686034013,"near","r1",NA
"r1.2.8",1,0.00761477213863522,"far","r1",NA
"r1.2.9",2,0.0104822423356913,"pot","r1",NA
"r1.2.10",0,0.00709669542853931,"near","r1",NA
"r1.2.11",2,0.00908585254884637,"far","r1",NA
"r1.2.12",1,0.00851494160266612,"pot","r1",NA
"r1.3.1",4,0.0120213498180119,"near","r1",NA
"r1.3.2",0,0.0105764255490974,"far","r1",NA
"r1.3.3",2,0.0127650877200301,"pot","r1",NA
"r1.3.4",1,0.00880642073162382,"near","r1",NA
"r1.3.5",0,0.0101484668267677,"far","r1",NA
"r1.3.6",2,0.00990193376002422,"pot","r1",0.0119
"r1.3.7",0,0.0111252756584857,"near","r1",NA
"r1.3.8",0,0.00946903177884581,"far","r1",NA
"r1.4.1",2,0.00941614416840096,"pot","r1",NA
"r1.4.5",1,0.00924580173277448,"near","r1",0.0155
"r1.4.7",2,0.00945259227358042,"pot","r1",NA
"r1.4.8",1,0.00624941197971204,"near","r1",NA
"r1.4.10",1,0.010581511160927,"pot","r1",0.0046
"r1.4.11",1,0.00777964040500256,"near","r1",NA
"r1.4.12",0,0.00851324750489856,"far","r1",NA
"r1.4.13",1,0.00876400920226873,"pot","r1",NA
"r1.4.14",1,0.0107666245763554,"near","r1",NA
"r1.4.15",1,0.00752609873920953,"far","r1",NA
"r1.4.17",0,0.00810776257102335,"near","r1",NA
"r1.5.1",0,0.00882492217857623,"far","r1",NA
"r1.5.2",1,0.00693678987003944,"pot","r1",0.0176
"r1.5.3",0,0.00855474286306065,"near","r1",NA
"r1.5.4",0,0.00899657589011036,"far","r1",NA
"r1.5.7",1,0.00759501974344893,"far","r1",NA
"r1.5.8",1,0.00839951693022465,"pot","r1",NA
"r1.5.9",3,0.00953080162992363,"near","r1",NA
"r1.5.10",2,0.00852117950798468,"far","r1",NA
"r1.5.11",2,0.00795672067043261,"pot","r1",NA
"r1.5.12",1,0.00879775357079369,"near","r1",NA
"r1.5.13",0,0.00773290045093534,"far","r1",NA
"r1.5.14",1,0.00843848002007529,"pot","r1",NA
"r1.6.1",0,0.00984793117226477,"near","r1",NA
"r1.6.2",0,0.0111985317547479,"far","r1",NA
"r1.6.3",1,0.0104478563307737,"pot","r1",NA
"r1.6.5",0,0.0113060206324856,"far","r1",NA
"r1.6.6",1,0.00782059722833297,"pot","r1",NA
"r1.6.7",1,0.0102892541430888,"near","r1",NA
"r1.6.8",0,0.00952232163236167,"far","r1",NA
"r1.6.9",1,0.00903258877151335,"pot","r1",NA
"r1.6.10",1,0.00717348062638029,"near","r1",NA
"r1.6.11",2,0.00884995739560725,"far","r1",NA
"r1.6.12",1,0.00877721603155572,"pot","r1",NA
"r1.6.13",1,0.0110422102460718,"near","r1",NA
"r1.6.14",3,0.00872180991029251,"far","r1",NA
"r1.6.16",1,0.00892797433263587,"near","r1",NA
"r1.6.17",1,0.00919385371315563,"far","r1",NA
"r1.6.18",1,0.00860585043266026,"pot","r1",NA
"r1.7.1",2,0.00967215759124564,"near","r1",NA
"r1.7.2",2,0.009635704666964,"far","r1",NA
"r1.7.3",2,0.0092560708686239,"pot","r1",NA
"r1.7.4",1,0.00967630901930877,"near","r1",NA
"r1.7.5",2,0.0113633159287651,"far","r1",NA
"r1.7.6",1,0.00829136995474945,"pot","r1",0.0163
"r1.7.7",3,0.0115124638889912,"near","r1",NA
"r1.7.8",2,0.0113335197819346,"far","r1",NA
"r1.7.9",1,0.00952523035522206,"pot","r1",0.0015
"r1.7.10",1,0.00770618556407326,"near","r1",NA
"r1.7.11",2,0.00953440521458968,"far","r1",NA
"r1.7.12",1,0.00864061547773567,"pot","r1",NA
"r1.7.13",1,0.00765803784027122,"near","r1",NA
"r1.7.14",0,0.00778642162796032,"far","r1",NA
"r1.7.15",1,0.007954127930403,"pot","r1",NA
"r1.7.16",1,0.010909630444846,"near","r1",NA
"r1.7.17",1,0.00876791868918184,"far","r1",NA
"r1.7.18",2,0.0112803761973423,"pot","r1",NA
"r1.7.19",1,0.00886385905159359,"near","r1",NA
"r1.7.21",1,0.00854930360532547,"pot","r1",0.0075
"r1.7.22",1,0.00928050540877018,"near","r1",NA
"r1.7.23",0,0.00803726221996731,"far","r1",NA
"r1.7.24",2,0.010410307826258,"pot","r1",NA
"r1.7.25",2,0.0105329162472802,"near","r1",NA
"r1.7.26",1,0.00860088024276741,"far","r1",NA
"r1.7.30",1,0.0104804346293828,"pot","r1",NA
"r1.7.31",1,0.00717360215018677,"near","r1",NA
"r1.7.32",1,0.00972491828466789,"far","r1",NA
"r1.8.2",1,0.00931006961681762,"near","r1",NA
"r1.8.3",0,0.0099409848649984,"far","r1",NA
"r1.8.4",1,0.0101113425085075,"pot","r1",NA
"r1.9.2",1,0.0102671698048545,"far","r1",NA
"r1.9.4",1,0.00877736452894185,"near","r1",0.0085
"r1.9.5",1,0.0105057806080826,"far","r1",NA
"r1.9.6",1,0.00978342266412092,"pot","r1",NA
"r1.9.7",0,0.010598307495414,"near","r1",NA
"r1.9.8",1,0.0120721689858964,"far","r1",NA
"r1.9.9",1,0.0115016265265082,"pot","r1",NA
"r1.9.10",1,0.00867212697674755,"near","r1",NA
"r1.9.11",2,0.0121618784914899,"far","r1",NA
"r1.9.12",1,0.00924139274863004,"pot","r1",0.0081
"r1.9.14",2,0.013585165570067,"far","r1",NA
"r1.9.15",2,0.0122089104116237,"pot","r1",NA
"r1.9.17",2,0.0108860265059571,"far","r1",0.0584
"r1.9.18",3,0.0122758524026962,"pot","r1",NA
"r1.9.19",2,0.0115006886383699,"near","r1",NA
"r1.10.1",1,0.00701473614296077,"pot","r1",NA
"r1.10.2",1,0.0107859514066303,"near","r1",0.0261
"r1.10.3",0,0.00847651817263811,"far","r1",NA
"r1.10.4",1,0.00861822792653604,"pot","r1",NA
"r1.10.5",1,0.0085003283039158,"near","r1",NA
"r1.10.6",1,0.00893804252028372,"far","r1",NA
"r1.10.7",1,0.00870952870268094,"pot","r1",NA
"r1.10.10",1,0.00770646880958946,"pot","r1",NA
"r1.10.11",1,0.00969502331873278,"near","r1",NA
"r1.10.12",1,0.0101618502404565,"far","r1",NA
"r1.10.13",2,0.0107093090457397,"pot","r1",NA
"r1.10.14",1,0.00933089293351972,"near","r1",NA
"r1.10.16",1,0.00950520819367954,"pot","r1",NA
"r1.10.18",1,0.0098935206556221,"far","r1",NA
"r1.10.19",2,0.0116409888759548,"pot","r1",NA
"r1.10.20",0,0.00897792291027513,"near","r1",NA
"r1.10.21",1,0.0098024999387694,"far","r1",NA
"r1.10.22",2,0.0101410086114343,"pot","r1",NA
"r1.10.23",1,0.00927024706814509,"near","r1",NA
"r1.10.24",1,0.00780382681137416,"far","r1",NA
"r1.10.25",1,0.00886842163441287,"pot","r1",NA
